STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,400800,3178,+41.782690,-087.620550
17,031,410100,2272,+41.801301,-087.587216
17,031,410200,1165,+41.801674,-087.593942
17,031,410500,2922,+41.798209,-087.604029
17,031,410600,2371,+41.798304,-087.598879
17,031,410700,2399,+41.798592,-087.594168
17,031,410800,2993,+41.797478,-087.590069
17,031,410900,3670,+41.797229,-087.583997
17,031,411000,3902,+41.793553,-087.583799
17,031,411100,2379,+41.791167,-087.590312
17,031,411200,1713,+41.792617,-087.593652
17,031,420100,1642,+41.783392,-087.588648
17,031,420200,1781,+41.782632,-087.593816
17,031,420300,2818,+41.783697,-087.598656
17,031,420400,1544,+41.783048,-087.603814
17,031,420500,2053,+41.783022,-087.608301
17,031,420600,2524,+41.783047,-087.613525
17,031,420700,3021,+41.776375,-087.610787
17,031,420800,2457,+41.776608,-087.603246
17,031,421200,1405,+41.770873,-087.609016
17,031,430101,4091,+41.770007,-087.573771
17,031,430102,3104,+41.768205,-087.568919
17,031,430200,5086,+41.770226,-087.581853
17,031,430300,2558,+41.769999,-087.589251
17,031,430400,3031,+41.762370,-087.590042
17,031,430500,4098,+41.764407,-087.580548
17,031,430600,1670,+41.764075,-087.571411
17,031,430700,2175,+41.764749,-087.563371
17,031,430800,1862,+41.760746,-087.571170
17,031,430900,1797,+41.760828,-087.579994
17,031,431200,2898,+41.755269,-087.571465
17,031,431301,3590,+41.753593,-087.561970
17,031,431302,4351,+41.758131,-087.563383
17,031,431400,6716,+41.759129,-087.556144
17,031,440101,4171,+41.748584,-087.601684
17,031,440102,3633,+41.742674,-087.602049
17,031,440201,5054,+41.748257,-087.610117
17,031,440202,3525,+41.741777,-087.609520
17,031,440300,4677,+41.744710,-087.619961
17,031,440600,1996,+41.732799,-087.619096
17,031,440700,1497,+41.734701,-087.609698
17,031,440800,1620,+41.731676,-087.603522
17,031,440900,2462,+41.729220,-087.608548
17,031,450300,3252,+41.741376,-087.580637
17,031,460100,2840,+41.748427,-087.549916
17,031,460200,1948,+41.741639,-087.546723
17,031,460301,2987,+41.740069,-087.556370
17,031,460302,3282,+41.747360,-087.557636
17,031,460400,3411,+41.744934,-087.563495
17,031,460500,5400,+41.747078,-087.572375
17,031,460800,3639,+41.735770,-087.552488
